country, hello
Albania, Përshëndetje
Andorra, Bonjour
Austria, Grüss Gott
Belgium, Bonjour
Bosnia Herzegovina, Dobar dan
Croatia, Dobar dan
Czech Republic, Ahoj
Denmark, Hej
Estonia, Tere
Finland, Hei
France, Bonjour
Germany, Hallo
Gibraltar (UK), Hello
Greece, Γεια σας
Guernsey (UK), Hello
Hungary, Helló
Ireland, Dia duit
Isle of Man (UK), Hello
Italy, Buongiorno
Jersey (UK), Hello
Latvia, Sveicināti
Liechtenstein, Hallo
Lithuania, Sveiki
Luxembourg, Bonjour
Macedonia, Здраво
Malta, Hello
Monaco, Bonjour
Montenegro, Dobro jutro
Netherlands, Hallo
Norway, Hallo
Poland, Cześć
Portugal, Olá
San Marino, Buongiorno
Serbia, Здраво
Slovakia, Ahoj
Slovenia, Pozdravljeni
Spain, Hola
Sweden, Hallå
Switzerland, Hallo
United Kingdom, Hello
Armenia, Բարեւ Ձեզ
Azerbaijan, salam
Belarus, прывітанне
Bulgaria, Здравейте
Faeroe Islands (Denmark), Hej
Georgia, გაუმარჯოს
Iceland, halló
Jan Mayen (Norway), Hallo
Moldova, Alo
Romania, Alo
Svalbard (Norway), Hallo
Turkey, Merhaba
Ukraine, привіт
Russia, привет